标题,户型,户型1,房屋面积,楼层,小区,租赁类型,朝向,轨道交通,租金,地区
蛋壳公寓 别和好房擦肩而过  找房终结者！,3室,1厅,22平米,13/24层,延吉四村,合租,东南,8号线,1810,yangpu安居客
入住减免2300 颜控福利 房源实拍精装主卧 爱干净星人福利,3室,1厅,16平米,10/27层,荣丰花园,合租,东南,12号线,1210,yangpu安居客
闹中取静 双南户型 小房子也有大风景 经典单身公寓,3室,1厅,16平米,20/30层,霍新小区,合租,东南,12号线,1340,yangpu安居客
社区工农三村小区房源 入住好礼 欧式装修 随时带看,3室,1厅,45平米,11/30层,工农三村,整租,朝南,8号线,3300,yangpu安居客
文通雅苑+产权车位+全屋中央空调地暖+拎包入住+地铁4/10,2室,2厅,120平米,10/18层,文通雅苑,整租,南北,4/12号线,8000,yangpu安居客
3号线地铁口，电梯大3房，南北通透，配套齐全，看房方便,3室,2厅,127平米,7/10层,文化花园明珠苑,整租,朝南,3号线,8500,yangpu安居客
楼层 干净整洁 精装修家具家电齐全 交通便利,1室,1厅,23平米,14/23层,益民小区,整租,东南,12号线,2470,yangpu安居客
社区东方名城好房出租 入住好礼 免费宽带 随时带看,3室,1厅,61平米,17/27层,东方名城,整租,朝南,8号线,3460,yangpu安居客
房东诚意出租地铁口精装修周边配套成熟拎包入住随时看房子,1室,0厅,30平米,4/7层,眉州路100弄小区,整租,朝南,无,4000,yangpu安居客
入住减免2300 地铁站步行直达 伴随着阳光起床,3室,1厅,24平米,11/27层,珠江香樟南园,整租,东南,12号线,1510,yangpu安居客
房位置好 家电齐全 拎包入住 精装修 看了就相中,3室,1厅,20平米,19/21层,宝地东花园,合租,东南,4/12号线,1250,yangpu安居客
控江路韵都城精装修 欧洲现代风格 拎包入住,3室,1厅,18平米,9/24层,韵都城,合租,东南,8/12号线,1060,yangpu安居客
新凤城  南北通透 一梯两户 婚房装修 出门地铁 采光,3室,2厅,132平米,24/25层,新凤城银座,整租,南北,8号线,9800,yangpu安居客
鞍山双辽支路60弄住的舒心速速来电干净整洁,1室,1厅,28平米,14/25层,双辽支路60弄小区,整租,东南,8号线,2910,yangpu安居客
入住减免2300 别和好房擦肩而过 享受居住乐趣,3室,1厅,18平米,12/25层,中原路99弄小区,整租,东南,8号线,1810,yangpu安居客
五角场五角场蓝天小区精装大标间 舒适温馨的布局 好楼层,3室,1厅,20平米,25/32层,五角场蓝天小区,合租,东南,10号线,1450,yangpu安居客
双气房 朝南户型 采光好 精装修 家具家电齐全 拎包入住,3室,1厅,17平米,6/22层,双辽支路60弄小区,合租,东南,8号线,1210,yangpu安居客
出租 全明户型 有钥匙 随时住 两房 家具家电齐全,1室,1厅,29平米,14/27层,万汇公寓,整租,东南,12号线,2740,yangpu安居客
坐公交 在转地铁？不 住蛋壳，分就让到地铁口,1室,1厅,30平米,10/30层,民治路12弄小区,整租,东南,无,2780,yangpu安居客
杨浦公园，精装两房，领包入住，有钥匙，随时看房,2室,1厅,78平米,3/6层,控江路896弄小区,整租,朝南,8号线,6000,yangpu安居客
家具家电全齐 拎包即住 低楼层 新房装修出租 先到先得,3室,1厅,17平米,22/25层,五角场蓝天小区,合租,东南,10号线,1240,yangpu安居客
新江湾城蛋壳公寓直租 押一付一  房间实拍 拎包即住,3室,1厅,21平米,12/23层,新江湾城雍景苑,合租,东南,无,1920,yangpu安居客
新江湾城里 安全性高 双南户型 近地铁10号线 周边配套成熟,2室,1厅,68平米,4/6层,民府小区,合租,朝南,10号线,5200,yangpu安居客
精致装修，温暖舒适周边配套设施齐全室友也都十分友好哦,1室,1厅,26平米,22/31层,海上国际,整租,东南,8号线,2600,yangpu安居客
近12号线江浦公园站 精装两房 拎包入住 有车位 诚意出租,2室,0厅,54平米,20/29层,霍兰公寓,整租,朝南,12号线,5000,yangpu安居客
东外滩保利香槟苑好房出租 干净卫生 双周保洁 速速来电,3室,1厅,20平米,17/29层,保利香槟苑,合租,东南,无,1300,yangpu安居客
三号线地铁口居家装修2房，全配随时可入住。随时看房,2室,1厅,60平米,5/6层,仁德路67弄10支弄小区,整租,朝南,3号线,5500,yangpu安居客
近地铁站，配套齐全，服务好，随时带看，毕业季租房,3室,1厅,16平米,15/23层,三门路358弄小区,整租,东南,3号线,1470,yangpu安居客
拎包即可入住，干净整洁的公寓住所，座的你都挑不出来毛病,3室,1厅,19平米,23/33层,海上海,合租,东南,无,1890,yangpu安居客
高端小区，近上海南站，居家的选择，三房两厅，随时入住，精装修,3室,2厅,140平米,11/12层,上海大花园,整租,南北,无,10000,yangpu安居客
带飘窗单间，整洁舒适，配套齐全，随时看房,1室,1厅,30平米,10/23层,殷行路451弄小区,整租,东南,8号线,2360,yangpu安居客
江湾体育场大众花苑精致装修，家电全配，交通便利适合白领入住,3室,1厅,16平米,20/21层,大众花苑,合租,东南,10号线,1300,yangpu安居客
"地铁8号线500米,电梯景观房，精装修，和平公园犹如私家花园",2室,2厅,72平米,17/18层,和平花苑,整租,南北,8/10号线,5800,yangpu安居客
新江湾尚景园舒适两房 干净整洁 急租 拎包入住,3室,1厅,15平米,11/26层,新江湾尚景园,合租,东南,3/10号线,1290,yangpu安居客
创智国际社区，大学路欧式住宅，本房经典复式，精装修全配,3室,2厅,150平米,6/8层,创智坊(三期北区),整租,南北,10号线,13000,yangpu安居客
精装修单间出租，地铁好房，数量有限，欲租从速！,3室,1厅,21平米,21/31层,五角场蓝天小区,合租,东南,10号线,1250,yangpu安居客
8号翔殷路站，精装修全配，看房方便，要求居家住户，随时入住,3室,2厅,127平米,10/18层,兰馨雅苑,整租,南北,8号线,9000,yangpu安居客
五角场房主诚意出租，干净清爽，配套设施齐全，看房随时,3室,1厅,15平米,6/23层,五角场蓝天小区,合租,东南,10号线,1410,yangpu安居客
合租蛋壳公寓 蛋壳公寓直租 押一付一  近地铁站 配套齐全,3室,1厅,18平米,22/31层,银河苑,合租,东南,12号线,1330,yangpu安居客
东外滩内环12号线地铁站，精装修两房一厅长阳创谷四季广场,2室,1厅,68平米,15/18层,馨运公寓,整租,朝南,12号线,5900,yangpu安居客
蛋壳公寓 别和好房擦肩而过  找房终结者！,3室,1厅,18平米,20/31层,和瑞雅苑,合租,东南,12号线,1470,yangpu安居客
畅你所想，双周给你一个新家，蛋壳公寓双周保洁让你呼吸新鲜空气,3室,1厅,23平米,9/25层,金鹏花园(西区),合租,东南,12号线,1870,yangpu安居客
鞍山和平花苑蛋壳公寓入找房终结者 极速免费宽带，游戏畅玩,1室,1厅,25平米,16/30层,和平花苑,整租,东南,8/10号线,2050,yangpu安居客
好房出租 入住好礼 免费宽带 随时带看,3室,1厅,20平米,8/24层,杨家宅小区,整租,东南,无,1630,yangpu安居客
双气房 朝南户型 采光好 精装修 家具家电齐全 拎包入住,1室,1厅,26平米,12/22层,国济路16弄小区,整租,东南,10号线,2230,yangpu安居客
精装全配，生活便利，多房源可供挑选，随时带看,3室,1厅,18平米,11/28层,新江湾中凯城市之光,整租,东南,10号线,1370,yangpu安居客
房位置好 家电齐全 拎包入住 精装修 看了就相中,1室,1厅,25平米,22/25层,鞍山四村第三小区,整租,东南,8/10号线,2020,yangpu安居客
精致装修，温暖舒适周边配套设施齐全室友也都十分友好哦,3室,1厅,16平米,19/23层,绿洲紫荆花园,整租,东南,10号线,1060,hongkou安居客
居住新体验无中介卧室飘窗阳台厨房卫生间，随时随地带你看房,3室,1厅,20平米,15/25层,和泰玫瑰园,合租,东南,12号线,1000,hongkou安居客
曲阳密云带飘窗单间，整洁舒适，配套齐全，随时看房,3室,1厅,17平米,25/26层,密云花苑,合租,东南,10号线,1290,hongkou安居客
地铁口4/10号线！精装修拎包入住！居家/合租首/选随时看房,2室,2厅,110平米,22/32层,香港丽园,整租,南北,4/12号线,7800,hongkou安居客
近地铁站小区，精装舒适，在这里遇见更多新朋友,1室,1厅,25平米,12/28层,恒城花苑,整租,东南,10号线,2360,hongkou安居客
北外滩白金好房出租，家具齐全，装修小清新，随时看房,3室,1厅,18平米,15/26层,白金府邸,合租,东南,12号线,1120,hongkou安居客
曲阳精装舒适，家电齐全性价比高，适合刚毕业年轻人,3室,1厅,18平米,21/29层,赤峰小区,合租,东南,无,1350,hongkou安居客
怡庭新出两房 精装带空调 全屋地暖 有租赁使用权产位家具全配,2室,2厅,103平米,15/21层,瑞虹新城怡庭,整租,朝南,4号线,12500,hongkou安居客
瑞虹新城五期 豪装全配 瑞安集团打造 月亮湾成熟商圈,3室,3厅,188平米,29/39层,瑞虹新城璟庭,整租,南北,4/10号线,14000,hongkou安居客
超出租 家具家电齐全 楼层低 价位低 交通便利,1室,1厅,26平米,12/26层,瑞虹新城璟庭,整租,东南,4/10号线,2820,hongkou安居客
鲁迅公园中山北一路140弄舒适两房 干净整洁 急租 拎包入住,1室,1厅,22平米,18/25层,中山北一路140弄小区,整租,东南,3/8号线,2330,hongkou安居客
临平路地铁口 电梯2房2厅 精装修拎包入住出租 随时看房子,2室,2厅,99平米,9/18层,紫虹嘉苑,整租,南北,4号线,9000,hongkou安居客
精装舒适，家电齐全性价比高，适合刚毕业年轻人,3室,1厅,18平米,12/23层,水电路1013弄小区,整租,东南,3号线,1860,hongkou安居客
精致装修，温暖舒适周边配套设施齐全室友也都十分友好哦,1室,1厅,29平米,10/26层,恒通公寓,整租,东南,8号线,2910,hongkou安居客
急租，近地铁站，适合上班族精装全配，长租更优惠,1室,1厅,33平米,20/22层,东体小区,整租,东南,3/8号线,2950,hongkou安居客
品质住宅 靠近瑞虹月亮湾 周边生活配套繁华 出行方便,2室,2厅,103平米,9/26层,建邦16区,整租,朝南,10号线,11500,hongkou安居客
北外滩中虹明珠苑精致装修，家电全配，交通便利适合白领入住,3室,1厅,17平米,12/26层,中虹明珠苑,整租,东南,4/12号线,1240,hongkou安居客
精致装修押一付一 全配单间出租 拎包入住有钥匙 意和家园,3室,1厅,58平米,21/25层,意和家园,合租,东南,1号线,2650,hongkou安居客
江湾镇丰景湾名邸舒适两房 干净整洁 急租 拎包入住,3室,1厅,18平米,13/31层,丰景湾名邸,合租,东南,无,1090,hongkou安居客
出门不带钥匙，让你的包包足够放化妆品 ，智能门锁你放心,3室,1厅,17平米,13/26层,邮电新村,合租,东南,8/10号线,1450,hongkou安居客
精装全配，生活便利，多房源可供挑选，随时带看,3室,1厅,22平米,13/22层,飘鹰东方花园,合租,东南,10号线,1670,hongkou安居客
鲁迅公园兴华小区好房出租 入住好礼 免费宽带 随时带看,3室,1厅,18平米,22/28层,兴华小区,整租,东南,3/8号线,1430,hongkou安居客
溧阳公馆，奢华装修带地暖，4/10号线海伦路站，带车位好看房,3室,2厅,155平米,9/18层,溧阳公馆,整租,南北,4/10号线,10000,hongkou安居客
蔷薇里 新出 欧式装修 实拍照片 看房有钥匙 近江湾镇地铁站,2室,2厅,80平米,26/32层,蔷薇里,整租,朝南,3号线,5100,hongkou安居客
精装舒适，家电齐全性价比高，适合刚毕业年轻人,1室,1厅,23平米,18/32层,中虹明珠苑,整租,东南,4/12号线,2220,hongkou安居客
水电路1344弄 精装一室一厅 近3号线大柏树站 朝南采光好,1室,1厅,41平米,6/7层,水电路1344弄小区,整租,朝南,无,3500,hongkou安居客
畅你所想，双周给你一个新家，蛋壳公寓双周保洁让你呼吸新鲜空气,3室,1厅,20平米,21/25层,曲阳大楼,合租,东南,8号线,1820,hongkou安居客
入住减免2300  颜控福利 颜控福利 高颜值北欧风精装,1室,1厅,30平米,11/26层,海伦大厦,整租,东南,12号线,2190,hongkou安居客
快来！快来！点进来~蛋壳公寓，但是不低端，给你精致的小屋,1室,1厅,29平米,15/24层,通海小区,整租,东南,4/10号线,2930,hongkou安居客
曲阳赤三交通便利，家电齐全 可整租可合租,3室,1厅,16平米,15/22层,赤三小区,合租,东南,无,1460,hongkou安居客
去年全新装修！出门就是4号线地铁口！百米到月亮湾！,1室,1厅,45平米,3/6层,宝元小区,整租,朝南,4号线,4200,hongkou安居客
拎包即可入住，干净整洁的公寓住所，座的你都挑不出来毛病,3室,1厅,21平米,17/21层,四川北路1702弄小区,合租,东南,3/4/10号线,1660,hongkou安居客
大柏树站 灵新小区 南北精装两房一厅 繁华地段 随时看房急租,2室,1厅,52平米,5/7层,灵新小区,整租,南北,3号线,5500,hongkou安居客
小复式 小三室 采光充足 周边配套设施齐全  押一付三,3室,1厅,60平米,6/6层,广中扩大小区,整租,朝南,无,5500,hongkou安居客
双气房 朝南户型 采光好 精装修 家具家电齐全 拎包入住,1室,1厅,22平米,16/30层,华二小区,整租,东南,无,2140,hongkou安居客
出租 全明户型 有钥匙 随时住 两房 家具家电齐全,1室,1厅,28平米,8/23层,逸虹景苑,整租,东南,3号线,2040,hongkou安居客
大四房200平豪装全配+固定车位+4/10号线+南北直通,4室,2厅,200平米,15/32层,中信和平家园,整租,南北,10号线,12500,hongkou安居客
精装舒适，家电齐全性价比高，适合刚毕业年轻人,3室,1厅,23平米,8/24层,德华苑,合租,东南,3/8号线,2840,hongkou安居客
瑞虹五期豪装2房+高品质生活小区+月亮湾购物中心+拎包入住！,2室,2厅,122平米,29/36层,瑞虹新城璟庭,整租,南北,4/10号线,9000,hongkou安居客
凉城商业二村精致装修，家电全配，交通便利适合白领入住,3室,1厅,19平米,14/28层,商业二村,整租,东南,3号线,1780,hongkou安居客
曲阳虹连大楼精致装修，家电全配，交通便利适合白领入住,1室,1厅,30平米,7/24层,虹连大楼,整租,东南,8/10号线,2980,hongkou安居客
商检公寓曲阳楼层 干净整洁 精装修家具家电齐全 交通便利,3室,1厅,18平米,10/24层,商检公寓,合租,东南,8号线,1970,hongkou安居客
蛋壳公寓 超享受！全新配置  一人一锁+安全巡查,3室,1厅,18平米,13/26层,建二公寓,合租,东南,8/10号线,1220,hongkou安居客
超出租 家具家电齐全 楼层低 价位低 交通便利,3室,1厅,20平米,23/25层,泰业公寓,整租,东南,4/10号线,1990,hongkou安居客
有中介的公寓？out啦！蛋壳公寓无中介精装主卧随时看房,1室,1厅,29平米,13/26层,兴华小区,整租,东南,3/8号线,2330,hongkou安居客
出门不带钥匙，让你的包包足够放化妆品、，智能门锁让你放心,3室,1厅,21平米,24/29层,虹诚大厦,合租,东南,4/10号线,1340,hongkou安居客
瑞虹新城怡庭，一楼80平花园 月亮湾一颗钻石，全屋地暖带车位,3室,3厅,175平米,1/35层,瑞虹新城怡庭,整租,南北,4号线,17000,hongkou安居客
蛋壳公寓 超享受！全新配置  一人一锁 安全巡查,3室,1厅,73平米,11/28层,名江七星城,整租,东南,12号线,4860,hongkou安居客
四川北路溧阳华府好房出租 干净卫生 双周保洁 速速来电,3室,1厅,18平米,12/31层,溧阳华府,合租,东南,4/10号线,1240,hongkou安居客
